,Regent Porto Montenegro - Pool Club Residences,150,42,TIVRPMPOOLCLUB
,Regent Porto Montenegro - Venezia Wing,150,43,TIVRPMVENEZIA
,"The Chedi Lustica Bay, Tivat",150,41,TIVCHEDILUSTICA
,"Adora Hotel, Ljubljana",206,44,LUBADORA
,"Ahotel Hotel, Ljubljana",206,44,LUBAHOTEL
,"Best Western Hotel Slon, Ljubljana",206,44,LUBBESTWESTERN
,"City Hotel Ljubljana, Ljubljana",206,44,LUBCITYHOTEL
,"G Designe Hotel , Ljubljana",206,44,LUBGDESIGNE
,"Grand Hotel Union, Ljubljana",206,44,LUBGRANDUNION
,"Grand Toplice Hotel, Bled",206,45,BLEGRANDTOPLICE
,"Hotel Astoria Bled, Bled",206,45,BLEASTORIA
,"Hotel Cubo, Ljubljana",206,44,LUBCUBO
,"Hotel Galleria, Ljubljana",206,44,SLOHOTGALL
,"Hotel Triglav, Bled",206,45,BLETRIGLAV
,"InterContinental, Ljubljana",206,44,LUBINTERCONT
,"Lesar Angel Hotel, Ljubljana",206,44,LUBLESARANGEL
,"NOX Hotel, ljubljana",206,44,LUBNOX
,"Uhotel, Ljubljana",206,44,LUBUHOTEL
,"Urban Boutique Hotel, Ljubljana",206,44,LUBURBANBOUT
,"Vila Bled, Bled",206,45,BLEVILBLED
